skill_slug,skill_name,runner_model,judge_model,harness_version,skill_version,skill_content_hash,lift_pts,pass_rate_with_skill,pass_rate_without_skill,headline_cases,total_cases,case_set_hash,run_id,completed_at,manifest_hash,outputs_pruned,derived_with_skill,derived_without_skill,derived_lift_pts
a-set-of-resources-formatter,a-set-of-resources-formatter,gemini-3.5-flash,gemini-3.1-pro-preview,0.2.4,1,e250e8cfe912b887de5e2f2a3aea17f198fb731554292eda49f9d8a5b6263eae,40.0,0.6,0.2,10,10,cae31b9578572d2a73e9a884d71681be9ec6e7402d469be9ca8a14f2aba38558,d5efb20c-224e-4c40-b815-32df255e3ece,2026-06-25T13:32:37.486666+00:00,3309b3818bb24dca662ac87e840e4bea37e56727261e38c0d189b3ed3450d0e3,True,0.6,0.2,40.0
a-set-of-resources-formatter,a-set-of-resources-formatter,gemini-3.6-flash,gemini-3.6-flash,0.6.0,1,e250e8cfe912b887de5e2f2a3aea17f198fb731554292eda49f9d8a5b6263eae,81.82,0.95,0.05,22,22,512d8ddb01d3f00c3122b204d82113ffa14c659a7a9f4357414c5274f7a7b6ba,7960f599-2927-45d5-b6ae-75607f7a5c5f,2026-07-29T02:29:37.909675+00:00,2d920a22786bfbd68e604e3af6e156adf5ebf960b75e005a36e6fc92312ac068,True,0.8181818181818182,0.0,81.8
agent-friendly-cli,agent-friendly-cli,gemini-3.5-flash,gemini-3.1-pro-preview,0.2.4,1,18ad3cfc6d96505ddc080c22d2e91ba6b8f274722a92ba7b0b9fefd25f8823fe,75.0,0.75,0.0,24,24,d8d0a75468b9401a250f0583b74ccf9b1f59ff54eac308972215b3168c07e2a9,ebbc13c4-e91c-462e-9ab5-00dd8e549aa9,2026-06-26T22:26:30.634901+00:00,a7707f5543f5e9cc23fa1a6f0325923b8c2c1f2e441473dd4dbb7d298f6cb158,True,0.75,0.0,75.0
agent-friendly-cli,agent-friendly-cli,gemini-3.6-flash,gemini-3.6-flash,0.6.0,1,18ad3cfc6d96505ddc080c22d2e91ba6b8f274722a92ba7b0b9fefd25f8823fe,59.09,1.0,0.0,22,22,466f8aec6e1fd38281e805364886d7af9f3a440128e0d251e6514cb88f046011,467dbdc9-18dc-4d2f-9162-f12fae9a4814,2026-07-29T02:39:53.992174+00:00,f61b9426d64a3e7d5613d1fae8f1ece27ff51acdd054e4c2a35853a292064831,True,0.6818181818181818,0.09090909090909091,59.1
agent-skill-format,agent-skill-format,gemini-3.5-flash,gemini-3.1-pro-preview,0.2.4,1,3499f2159cdf84043f89cee6366cda7d5dc97b3799824cee1b544e9f9a8df7dc,100.0,1.0,0.0,24,24,4cb7b6bc0f18fddbecbb6261cf0680a928669d1d3dc776b32b3f129f5a167820,7ba367fe-10e7-4583-a1bd-3eb638c9913e,2026-06-26T22:08:40.142727+00:00,9925e1bbf918cbff09671e4c3678c30abf0d17cc70fc194b915ea06a932d8cfb,True,1.0,0.0,100.0
agent-skill-format,agent-skill-format,gemini-3.6-flash,gemini-3.6-flash,0.6.0,1,3499f2159cdf84043f89cee6366cda7d5dc97b3799824cee1b544e9f9a8df7dc,72.73,0.9412,0.0588,22,22,3e3725708569552b2da73482b3b08f82e41f892796b0b25fa5930c89d200f276,c7e4e883-7da8-44c2-8907-3a2be43459f9,2026-07-29T02:30:58.005134+00:00,72277a161034e0b03449d840c3865fa5886818b6f66e458ad1888481e2af38ff,True,0.7272727272727273,0.0,72.7
agent-skills-package-spec,agent-skills-package-spec,gemini-3.5-flash,gemini-3.1-pro-preview,0.2.4,1,3dcdd90480de77f762a0fe748636332572e3d7666c69ed6677188f5faa84f658,91.67,0.9167,0.0,24,24,65d8a2acfcb6bdd06b2460afe9d27541f37c97a3e80cc455be287391482a1955,0d9edc10-4d2a-47b9-a10e-3e8f7574fdda,2026-06-27T03:09:54.313444+00:00,3b18389ff7df4f4d3abe9e4c682d6006bef104ee97c56b08c1bc1ded49018681,True,0.9166666666666666,0.0,91.7
agent-skills-package-spec,agent-skills-package-spec,gemini-3.6-flash,gemini-3.6-flash,0.6.0,1,3dcdd90480de77f762a0fe748636332572e3d7666c69ed6677188f5faa84f658,40.91,1.0,0.0,22,22,7b1b300abd62bdd6a0c5cd789db2f2dcde94086d62893d1989052ad8b74cf5b5,836b8229-2412-4426-b6f3-3e2d51d9797a,2026-07-29T02:31:37.314170+00:00,3449980562fe03cbbf130d1ed54c594fc8e826a2bc8e873124c1921ea545e330,True,0.4090909090909091,0.0,40.9
agent-tool-definition-style,agent-tool-definition-style,gemini-3.5-flash,gemini-3.1-pro-preview,0.2.4,1,96fbb4dd00c34080c22aa82de0baf2f74841a9330dd08b84445804b07a57fafe,95.83,0.9583,0.0,24,24,80594d926357e4e245b2f449df6fa1bfe2a7c199c7f3a6eb7bf6feaebf560948,44f909f5-be02-44ae-a5a4-5bf979d04e94,2026-06-27T02:21:53.754743+00:00,7702d30db40f09af0267226056ac3aa7d81ee79c40f0b85f054034b13a7f5149,True,0.9583333333333334,0.0,95.8
agent-tool-definition-style,agent-tool-definition-style,gemini-3.6-flash,gemini-3.6-flash,0.6.0,1,96fbb4dd00c34080c22aa82de0baf2f74841a9330dd08b84445804b07a57fafe,77.27,0.8947,0.1053,22,22,7d6020ee8342b5fa5deb2dfa19ca172ba0ba5eed0a194096aa37a6d36d359fed,95a8900d-a216-4caa-b70a-71d3bb3d2751,2026-07-29T02:34:38.996187+00:00,95669b5eb9691d27159c8e1326a56873a8fecbe86f96d73023306d1cc8cfee59,True,0.8181818181818182,0.045454545454545456,77.3
