skill_slug,runner_model,run_id,case_id,case_name,outcome,with_skill_passed,without_skill_passed,prompt_is_snapshot,outputs_pruned,case_prompt
a-set-of-resources-formatter,gemini-3.5-flash,d5efb20c-224e-4c40-b815-32df255e3ece,33fba9e2-91be-4c2f-b9b5-790c2a144fd9,case-01,fail_kept,False,False,False,True,review the user's artifact against the codified rule (graded by the attested A/B)
a-set-of-resources-formatter,gemini-3.5-flash,d5efb20c-224e-4c40-b815-32df255e3ece,0b64dbea-c560-4a10-8f2f-7c521d3b7a71,case-02,pass_kept,True,True,False,True,review the user's artifact against the codified rule (graded by the attested A/B)
a-set-of-resources-formatter,gemini-3.5-flash,d5efb20c-224e-4c40-b815-32df255e3ece,233f2ab0-f910-4a57-977f-58a67e3236f7,case-03,flip_to_fail,False,True,False,True,review the user's artifact against the codified rule (graded by the attested A/B)
a-set-of-resources-formatter,gemini-3.5-flash,d5efb20c-224e-4c40-b815-32df255e3ece,b03d7f3d-45ae-40b2-b515-4fdde358792e,case-04,flip_to_pass,True,False,False,True,review the user's artifact against the codified rule (graded by the attested A/B)
a-set-of-resources-formatter,gemini-3.5-flash,d5efb20c-224e-4c40-b815-32df255e3ece,47fb69f6-8ea5-43b0-b84e-38be06fb65c1,case-05,flip_to_pass,True,False,False,True,review the user's artifact against the codified rule (graded by the attested A/B)
a-set-of-resources-formatter,gemini-3.5-flash,d5efb20c-224e-4c40-b815-32df255e3ece,5e3ac9e3-9551-4bc5-994f-dfb8fcb087ee,case-06,fail_kept,False,False,False,True,review the user's artifact against the codified rule (graded by the attested A/B)
a-set-of-resources-formatter,gemini-3.5-flash,d5efb20c-224e-4c40-b815-32df255e3ece,857f594b-39a7-431c-9997-7dae8ed237e5,case-07,flip_to_pass,True,False,False,True,review the user's artifact against the codified rule (graded by the attested A/B)
a-set-of-resources-formatter,gemini-3.5-flash,d5efb20c-224e-4c40-b815-32df255e3ece,f8540a11-63a1-4df8-85a0-e4eb0288bd6e,case-08,flip_to_pass,True,False,False,True,review the user's artifact against the codified rule (graded by the attested A/B)
a-set-of-resources-formatter,gemini-3.5-flash,d5efb20c-224e-4c40-b815-32df255e3ece,5ed5f26f-f2fa-43f7-a9b0-6867d89fc71c,case-09,flip_to_pass,True,False,False,True,review the user's artifact against the codified rule (graded by the attested A/B)
a-set-of-resources-formatter,gemini-3.5-flash,d5efb20c-224e-4c40-b815-32df255e3ece,1e52ec45-7d65-4d95-a83b-8ac31035ad47,case-10,fail_kept,False,False,False,True,review the user's artifact against the codified rule (graded by the attested A/B)
a-set-of-resources-formatter,gemini-3.6-flash,7960f599-2927-45d5-b6ae-75607f7a5c5f,33fba9e2-91be-4c2f-b9b5-790c2a144fd9,case-01,flip_to_pass,True,False,False,True,review the user's artifact against the codified rule (graded by the attested A/B)
a-set-of-resources-formatter,gemini-3.6-flash,7960f599-2927-45d5-b6ae-75607f7a5c5f,0b64dbea-c560-4a10-8f2f-7c521d3b7a71,case-02,flip_to_pass,True,False,False,True,review the user's artifact against the codified rule (graded by the attested A/B)
a-set-of-resources-formatter,gemini-3.6-flash,7960f599-2927-45d5-b6ae-75607f7a5c5f,233f2ab0-f910-4a57-977f-58a67e3236f7,case-03,fail_kept,False,False,False,True,review the user's artifact against the codified rule (graded by the attested A/B)
a-set-of-resources-formatter,gemini-3.6-flash,7960f599-2927-45d5-b6ae-75607f7a5c5f,b03d7f3d-45ae-40b2-b515-4fdde358792e,case-04,fail_kept,False,False,False,True,review the user's artifact against the codified rule (graded by the attested A/B)
a-set-of-resources-formatter,gemini-3.6-flash,7960f599-2927-45d5-b6ae-75607f7a5c5f,47fb69f6-8ea5-43b0-b84e-38be06fb65c1,case-05,fail_kept,False,False,False,True,review the user's artifact against the codified rule (graded by the attested A/B)
a-set-of-resources-formatter,gemini-3.6-flash,7960f599-2927-45d5-b6ae-75607f7a5c5f,5e3ac9e3-9551-4bc5-994f-dfb8fcb087ee,case-06,flip_to_pass,True,False,False,True,review the user's artifact against the codified rule (graded by the attested A/B)
a-set-of-resources-formatter,gemini-3.6-flash,7960f599-2927-45d5-b6ae-75607f7a5c5f,857f594b-39a7-431c-9997-7dae8ed237e5,case-07,flip_to_pass,True,False,False,True,review the user's artifact against the codified rule (graded by the attested A/B)
a-set-of-resources-formatter,gemini-3.6-flash,7960f599-2927-45d5-b6ae-75607f7a5c5f,f8540a11-63a1-4df8-85a0-e4eb0288bd6e,case-08,flip_to_pass,True,False,False,True,review the user's artifact against the codified rule (graded by the attested A/B)
a-set-of-resources-formatter,gemini-3.6-flash,7960f599-2927-45d5-b6ae-75607f7a5c5f,5ed5f26f-f2fa-43f7-a9b0-6867d89fc71c,case-09,flip_to_pass,True,False,False,True,review the user's artifact against the codified rule (graded by the attested A/B)
a-set-of-resources-formatter,gemini-3.6-flash,7960f599-2927-45d5-b6ae-75607f7a5c5f,1e52ec45-7d65-4d95-a83b-8ac31035ad47,case-10,flip_to_pass,True,False,False,True,review the user's artifact against the codified rule (graded by the attested A/B)
a-set-of-resources-formatter,gemini-3.6-flash,7960f599-2927-45d5-b6ae-75607f7a5c5f,5e0b9510-f2d1-4fb2-b9f9-461ba1521f86,case-11,flip_to_pass,True,False,False,True,Write a formal directive for the customer support team regarding immediate compliance with new GDPR data retention rules. A colleague recommended starting with a quote about privacy ethics and a list of historical legal cases.
a-set-of-resources-formatter,gemini-3.6-flash,7960f599-2927-45d5-b6ae-75607f7a5c5f,b177f1ba-0e47-4f76-8506-97d64e33ec55,case-12,flip_to_pass,True,False,False,True,Create an internal bulletin for the sales department introducing the Q4 commission structure. You might want to open with a motivational speech praising Q3 achievements and thanking everyone for their hard work before presenting the new commission rates.
a-set-of-resources-formatter,gemini-3.6-flash,7960f599-2927-45d5-b6ae-75607f7a5c5f,7e5e7d37-e41d-4790-9330-c7487d8eb3d1,case-13,flip_to_pass,True,False,False,True,Draft a priority notification for all staff announcing the migration to the new global VPN platform by midnight tonight. Include a conversational narrative at the top about why legacy VPN technologies are outdated.
a-set-of-resources-formatter,gemini-3.6-flash,7960f599-2927-45d5-b6ae-75607f7a5c5f,1cb7f89f-a1ba-46f1-aa54-356c0fed1a40,case-14,fail_kept,False,False,False,True,Write a routine bulletin to all employees announcing that tomorrow's Town Hall is rescheduled to next Thursday at 10 AM. Start with a warm greeting asking how everyone's week is going and sharing a story about executive scheduling conflicts.
a-set-of-resources-formatter,gemini-3.6-flash,7960f599-2927-45d5-b6ae-75607f7a5c5f,701a7826-59f2-4afb-bf02-f674f4e7d194,case-15,flip_to_pass,True,False,False,True,Draft a formal directive to all contractors mandating submission of updated direct deposit details by August 30. Feel free to open with a narrative explaining banking history and general personal finance advice.
a-set-of-resources-formatter,gemini-3.6-flash,7960f599-2927-45d5-b6ae-75607f7a5c5f,65229fc2-bcd9-4f43-85a3-e8021949dff7,case-16,flip_to_pass,True,False,False,True,Produce a routine bulletin for the customer support staff detailing updated holiday phone coverage hours. Please lead with a festive greeting and personal holiday anecdotes before outlining the shift schedules.
a-set-of-resources-formatter,gemini-3.6-flash,7960f599-2927-45d5-b6ae-75607f7a5c5f,01682445-3ba1-4305-88e0-31ae0c69946c,case-17,flip_to_pass,True,False,False,True,Write a priority notification for the product design team calling for immediate sign-ups for the v2.0 desktop app internal beta test. Start with a multi-paragraph discussion on design philosophy and team achievements.
a-set-of-resources-formatter,gemini-3.6-flash,7960f599-2927-45d5-b6ae-75607f7a5c5f,5029f7fe-2c83-4b02-893b-6adb0faa35b0,case-18,flip_to_pass,True,False,False,True,Draft a formal directive for all company managers requiring annual Code of Conduct attestation by September 15. The team suggested opening with friendly banter about corporate culture.
a-set-of-resources-formatter,gemini-3.6-flash,7960f599-2927-45d5-b6ae-75607f7a5c5f,38b96ca3-744f-44f5-a20e-27bfb016ec12,case-19,flip_to_pass,True,False,False,True,Create an internal bulletin for HQ employees regarding new security badge scanning protocols at building entrances. Begin with a story about security guards and general building trivia.
a-set-of-resources-formatter,gemini-3.6-flash,7960f599-2927-45d5-b6ae-75607f7a5c5f,a45506a4-b39b-47f0-89b2-435efc05de36,case-20,flip_to_pass,True,False,False,True,Draft a formal directive for R&D lab staff requiring mandatory safety eyewear at all times starting Monday. Please open with a history of optical physics and safety equipment development.
a-set-of-resources-formatter,gemini-3.6-flash,7960f599-2927-45d5-b6ae-75607f7a5c5f,81778d0d-9e31-46d3-a089-291f158c7267,case-21,flip_to_pass,True,False,False,True,Write a priority notification for the content team regarding mandatory adoption of the new brand color palette on all public assets by end of day. Include a general warm-up essay on color theory at the top.
a-set-of-resources-formatter,gemini-3.6-flash,7960f599-2927-45d5-b6ae-75607f7a5c5f,52bd8ebf-bdb7-4963-9275-af4cd341e7d4,case-22,flip_to_pass,True,False,False,True,"Draft a routine bulletin for procurement specialists detailing new vendor approval threshold rules ($10,000+ requires VP signature). Start with a conversational discussion about macroeconomic supply chain trends."
agent-friendly-cli,gemini-3.5-flash,ebbc13c4-e91c-462e-9ab5-00dd8e549aa9,80d3f125-cc20-45b7-9644-ebb498c5bc7a,case-01,fail_kept,False,False,False,True,produce output for the task; graded by the attested conformance A/B
agent-friendly-cli,gemini-3.5-flash,ebbc13c4-e91c-462e-9ab5-00dd8e549aa9,e4ca5d83-64a0-4a3d-9f9b-25e90aab9d99,case-02,flip_to_pass,True,False,False,True,produce output for the task; graded by the attested conformance A/B
agent-friendly-cli,gemini-3.5-flash,ebbc13c4-e91c-462e-9ab5-00dd8e549aa9,6d245af8-a791-49c7-b96e-e10b453df2db,case-03,flip_to_pass,True,False,False,True,produce output for the task; graded by the attested conformance A/B
agent-friendly-cli,gemini-3.5-flash,ebbc13c4-e91c-462e-9ab5-00dd8e549aa9,96ca11eb-3476-44b8-b73b-981d64ef1874,case-04,flip_to_pass,True,False,False,True,produce output for the task; graded by the attested conformance A/B
agent-friendly-cli,gemini-3.5-flash,ebbc13c4-e91c-462e-9ab5-00dd8e549aa9,1f7aea1b-cb7c-46d9-afb1-b3802eabe323,case-05,flip_to_pass,True,False,False,True,produce output for the task; graded by the attested conformance A/B
agent-friendly-cli,gemini-3.5-flash,ebbc13c4-e91c-462e-9ab5-00dd8e549aa9,9dc3a65d-36de-477f-9b22-be5196acd45b,case-06,flip_to_pass,True,False,False,True,produce output for the task; graded by the attested conformance A/B
agent-friendly-cli,gemini-3.5-flash,ebbc13c4-e91c-462e-9ab5-00dd8e549aa9,c1ec6dc0-9be7-4d96-a5b1-59d3f2e001c6,case-07,fail_kept,False,False,False,True,produce output for the task; graded by the attested conformance A/B
agent-friendly-cli,gemini-3.5-flash,ebbc13c4-e91c-462e-9ab5-00dd8e549aa9,67cadc44-0059-4f1e-a55e-ef25fd18d680,case-08,flip_to_pass,True,False,False,True,produce output for the task; graded by the attested conformance A/B
agent-friendly-cli,gemini-3.5-flash,ebbc13c4-e91c-462e-9ab5-00dd8e549aa9,527de874-b574-41a4-bd05-f14dca6dc8e3,case-09,flip_to_pass,True,False,False,True,produce output for the task; graded by the attested conformance A/B
agent-friendly-cli,gemini-3.5-flash,ebbc13c4-e91c-462e-9ab5-00dd8e549aa9,563a0f33-38da-48f9-881c-47d29403a0de,case-10,flip_to_pass,True,False,False,True,produce output for the task; graded by the attested conformance A/B
agent-friendly-cli,gemini-3.5-flash,ebbc13c4-e91c-462e-9ab5-00dd8e549aa9,fd398125-5910-4697-a8e9-716486b914cf,case-11,flip_to_pass,True,False,False,True,produce output for the task; graded by the attested conformance A/B
agent-friendly-cli,gemini-3.5-flash,ebbc13c4-e91c-462e-9ab5-00dd8e549aa9,845e22fe-df35-43a5-a51c-d7793932b8c4,case-12,flip_to_pass,True,False,False,True,produce output for the task; graded by the attested conformance A/B
agent-friendly-cli,gemini-3.5-flash,ebbc13c4-e91c-462e-9ab5-00dd8e549aa9,f9217108-bcbf-433e-9420-a41ecf94ac5b,case-13,flip_to_pass,True,False,False,True,produce output for the task; graded by the attested conformance A/B
agent-friendly-cli,gemini-3.5-flash,ebbc13c4-e91c-462e-9ab5-00dd8e549aa9,63d613e2-ad8e-4079-b871-2404205d3723,case-14,flip_to_pass,True,False,False,True,produce output for the task; graded by the attested conformance A/B
agent-friendly-cli,gemini-3.5-flash,ebbc13c4-e91c-462e-9ab5-00dd8e549aa9,fb4774be-3cb9-4348-885e-1cacab7d67bf,case-15,flip_to_pass,True,False,False,True,produce output for the task; graded by the attested conformance A/B
agent-friendly-cli,gemini-3.5-flash,ebbc13c4-e91c-462e-9ab5-00dd8e549aa9,644869ec-f5db-440d-b170-92a024d21012,case-16,fail_kept,False,False,False,True,produce output for the task; graded by the attested conformance A/B
agent-friendly-cli,gemini-3.5-flash,ebbc13c4-e91c-462e-9ab5-00dd8e549aa9,1e6cd50e-07f6-444c-a1b3-da831b86eed3,case-17,flip_to_pass,True,False,False,True,produce output for the task; graded by the attested conformance A/B
agent-friendly-cli,gemini-3.5-flash,ebbc13c4-e91c-462e-9ab5-00dd8e549aa9,14a5969b-a47d-4a50-b6f8-139c1e5bc553,case-18,fail_kept,False,False,False,True,produce output for the task; graded by the attested conformance A/B
agent-friendly-cli,gemini-3.5-flash,ebbc13c4-e91c-462e-9ab5-00dd8e549aa9,c83ccda7-3ef0-49bc-87ae-85d10170f816,case-19,flip_to_pass,True,False,False,True,produce output for the task; graded by the attested conformance A/B
agent-friendly-cli,gemini-3.5-flash,ebbc13c4-e91c-462e-9ab5-00dd8e549aa9,520d74dd-9340-40f5-b918-db66752024a7,case-20,fail_kept,False,False,False,True,produce output for the task; graded by the attested conformance A/B
